campus_nam,stu_city,stu_lat,stu_long,stu_servic,stu_online
Karachi,Umerkot,34.02610030000,69.73762860000,PTCL,Zoom
Islamabad,Islamabad/Rawalpindi,32.22124860000,73.09872990000,Zong,Google Meet
Peshawar,Kotli  Azad kashmir,32.06439240000,73.97418740000,PTCL,Google Meet
Peshawar,Kohat,31.42976600000,71.46852470000,Jazz,Google Meet
Karachi,Karachi,31.62597340000,67.01816180000,Ufone,Google Meet
Islamabad,Pindi Gheb,30.20518270000,72.26598680000,Jazz,Zoom
Karachi,Karachi,31.44056900000,67.25829850000,Telenor,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,3115558864.00000000000,0.00000000000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,32.22124860000,73.08697720000,Zong,Zoom
Islamabad,Mandi Bahauddin,32.06439240000,73.48283740000,Telenor,Zoom
Peshawar,Peshawar,31.42976600000,71.63175091000,Jazz,Google Meet
Karachi,Karachi,31.62597340000,67.11519636000,Ufone,Google Meet
Karachi,Karachi,30.20518270000,67.00113640000,Jazz,Zoom
Karachi,Multan,31.44056900000,71.52491540000,Zong,Google Meet
Peshawar,Mianwali,31.59743560000,71.54494680000,Jazz,Google Meet
Islamabad,Mandi baha ud din,24.88261560000,73.50934740000,Jazz,Google Meet
Chiniot_Faisalabad,Lahore,3044847008.00000000000,0.00000000000,Jazz,Zoom
Chiniot_Faisalabad,"Kot Mithan, Rajanpur",24.92988450000,70.36781651000,Zong,Microsoft Teams
Islamabad,Multan,30.52956690000,71.49375320000,Jazz,Google Meet
Chiniot_Faisalabad,Multan,3377002768.00000000000,0.00000000000,Telenor,Microsoft Teams
Islamabad,"District Buner, kpk",24.92988450000,72.55893200000,Telenor,Zoom
Karachi,Karachi,30.52956690000,67.07504150000,Ufone,Google Meet
Karachi,Karachi,34.02610030000,67.35927710000,Fastnet,Google Meet
Peshawar,Peshawar,32.22124860000,71.52491540000,Ufone,Google Meet
Chiniot_Faisalabad,Sahiwal,32.06439240000,73.10917813000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,31.42976600000,73.11109920000,Zong,Zoom
Karachi,Karachi,31.62597340000,67.06693250000,Zong,Zoom
Islamabad,Islamabad/Rawalpindi,30.20518270000,73.10137913000,PTCL,Google Meet
Chiniot_Faisalabad,Muzaffargarh,31.44056900000,71.18049880000,Jazz,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.59743560000,73.10102820000,Zong,Zoom
Peshawar,Bahawalpur,24.88261560000,71.69106600000,Jazz,Google Meet
Chiniot_Faisalabad,Mirpur nu,31.40280660000,74.16583300000,Telenor,Microsoft Teams
Peshawar,Rahim yar khan,28.51474090000,70.24827340000,Zong,Google Meet
Karachi,Karachi,24.96304720000,67.12912220000,PTCL,Google Meet
Chiniot_Faisalabad,Lahore,31.44746850000,74.30807090000,Jazz,Zoom
Karachi,Karachi,24.90279890000,67.07467910000,Zong,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.46225600000,73.06477550000,Jazz,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.63285290000,73.08332240000,Jazz,Microsoft Teams
Karachi,Karachi,24.84060000000,67.19481870000,Telenor,Google Meet
Islamabad,Islamabad/Rawalpindi,33.53055650000,73.06118820000,PTCL,Zoom
Islamabad,Islamabad/Rawalpindi,33.68442020000,73.04788480000,Ufone,Google Meet
Chiniot_Faisalabad,Sahiwal,30.66819980000,73.11135600000,Jazz,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.45035368000,73.08515342000,PTCL,Microsoft Teams
Chiniot_Faisalabad,Lahore,31.57822930000,74.37985370000,Zong,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.40041640000,73.10397900000,Jazz,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,3216630007.00000000000,0.00000000000,Jazz,Microsoft Teams
Islamabad,Sialkot,24.92988450000,74.52289160000,Ufone,Zoom
Peshawar,Lahore,3010202022.00000000000,0.00000000000,PTCL,Google Meet
Karachi,Karachi,24.92988450000,67.05986340000,Ufone,Google Meet
Islamabad,Islamabad/Rawalpindi,30.52956690000,73.24262510000,Ufone,Zoom
Karachi,Karachi,34.02610030000,67.05405520000,Ufone,Google Meet
Karachi,Karachi,32.22124860000,67.08017344000,Jazz,Zoom
Karachi,Karachi,3432558489.00000000000,0.00000000000,Telenor,Google Meet
Karachi,Karachi,24.92988450000,68.35404960000,Zong,Zoom
Islamabad,Islamabad/Rawalpindi,30.52956690000,72.91582471000,Zong,Microsoft Teams
Karachi,Karachi,34.02610030000,67.11164410000,Ufone,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,32.22124860000,73.14647354000,Zong,Microsoft Teams
Karachi,Karachi,32.06439240000,67.23711700000,Ufone,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,3219656603.00000000000,0.00000000000,Zong,Microsoft Teams
Peshawar,"Muzaffarabad,AJK",24.92988450000,73.47694580000,Jazz,Google Meet
Karachi,Karachi,30.52956690000,67.06351681000,UFONE,Zoom
Karachi,Karachi,34.02610030000,67.06419190000,Zong,Zoom
Chiniot_Faisalabad,Multan,32.22124860000,71.48861850000,Jazz,Zoom
Karachi,Karachi,0.00000000000,0.00000000000,PTCL,Google Meet
Islamabad,Gujranwala,31.42976600000,73.86359190000,Telenor,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.62597340000,73.14528670000,PTCL,Microsoft Teams
Karachi,Karachi,30.20518270000,67.05229000000,Ufone,Zoom and Google Meet both
Chiniot_Faisalabad,Chiniot/Faisalabad,3497681468.00000000000,0.00000000000,Telenor,Microsoft Teams
Peshawar,Lahore,3154184299.00000000000,0.00000000000,Jazz,Google Meet
Karachi,Karachi,24.88261560000,67.12118960000,Jazz,Google Meet
Chiniot_Faisalabad,Chiniot/Faisalabad,31.40280660000,73.12168330000,Zong,Microsoft Teams
Chiniot_Faisalabad,Okara,30.79987690000,73.46746770000,Jazz,Microsoft Teams
Chiniot_Faisalabad,Okara Cantt,30.76135270000,73.35644250000,Zong,Zoom
Chiniot_Faisalabad,Multan,30.15745800000,71.52491540000,PTCL,Zoom and teams
Islamabad,Islamabad/Rawalpindi,33.63897120000,73.06772910000,Jazz,Zoom
Peshawar,Gujranwala,32.18769190000,74.19445290000,Jazz,Google Meet
Peshawar,Islamabad/Rawalpindi,33.68442020000,73.04788480000,Ufone,Google Meet
Peshawar,Dadu,26.73405810000,67.77948170000,Zong,Google Meet
Chiniot_Faisalabad,Hasilpur,29.69016750000,72.66242090000,PTCL,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.67168550000,72.98736160000,Zong,Google Meet
Islamabad,"Tehsil Jand, District Attock",33.43646450000,72.01718620000,Ufone,Zoom
Islamabad,Islamabad/Rawalpindi,33.52052227000,73.16939806000,Ufone,Google Meet
Karachi,Tando Muhammad khan sindh,25.12559170000,68.54260110000,Telenor,Zoom
Chiniot_Faisalabad,Lahore,31.50202105000,74.25990906000,PTCL,Microsoft Teams
Karachi,Home Town,28.02711550000,69.32351230000,PTCL,Zoom
Islamabad,Islamabad/Rawalpindi,3345277360.00000000000,0.00000000000,ufone,Google Meet
